NO;PENGUASAAN TANAH;PEMILIKAN TANAH;PENGGUNAAN TANAH;PEMANFAATAN TANAH;POTENSI TOL;Luas  m2
1;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;181
2;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;123
3;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;227
4;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;106
5;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;121
6;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;136
7;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;275
8;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;147
9;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;236
10;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;163
11;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;120
12;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;212
13;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;118
14;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;134
15;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;166
16;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;163
17;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;153
18;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;330
19;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;88
20;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;117
21;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;107
22;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;162
23;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;171
24;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;87
25;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;83
26;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;148
27;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;125
28;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;83
29;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;85
30;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;121
31;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;97
32;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;114
33;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;135
34;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;344
35;Fasos Fasum;Terdaftar dalam HGU baru (diluar penyisihan);Mushola;Sarana Ibadah;Sengketa, Konflik dan Perkara;79
36;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;123
37;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;220
38;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;105
39;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;131
40;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;206
41;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;154
42;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;156
43;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;161
44;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;185
45;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;192
46;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;172
47;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;180
48;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;121
49;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;186
50;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;96
51;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;182
52;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;104
53;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;285
54;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;128
55;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;184
56;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;147
57;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;185
58;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;138
59;Fasos Fasum;Terdaftar dalam HGU baru (diluar penyisihan);Mushola;Sarana Ibadah;Sengketa, Konflik dan Perkara;69
60;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;167
61;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;189
62;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;125
63;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;78
64;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;292
65;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;206
66;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;209
67;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;333
68;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;172
69;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;87
70;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;93
71;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;114
72;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;136
73;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;225
74;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;227
75;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;362
76;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;123
77;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;234
78;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;85
79;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;104
80;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;272
81;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;100
82;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;215
83;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;215
84;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;131
85;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;141
86;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;144
87;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;283
88;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;292
89;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;144
90;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;133
91;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;147
92;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;191
93;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;128
94;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;160
